Labels,Latitude,Longitude,Capacity
ParkingVelo140,48.8852745,2.3494082,8
ParkingVelo141,48.8851249,2.3494039,2
ParkingVelo142,48.8862992,2.349431,28
ParkingVelo143,48.8866382,2.349441,14
ParkingVelo144,48.8887813,2.3494769,4
ParkingVelo145,48.8889867,2.3494774,6
ParkingVelo146,48.8891003,2.349471,6
ParkingVelo147,48.888496,2.3494751,4
ParkingVelo148,48.8879597,2.3494698,4
ParkingVelo149,48.8898753,2.3494908,8
ParkingVelo150,48.8892883,2.3494808,6
ParkingVelo151,48.8830709,2.3383829,14
ParkingVelo152,48.8857611,2.3348974,6
ParkingVelo153,48.8853384,2.3362555,8
ParkingVelo154,48.8843224,2.3382731,10
ParkingVelo155,48.8886961,2.339054,12
ParkingVelo156,48.8865079,2.3357014,8
ParkingVelo157,48.8885448,2.3354619,18
ParkingVelo158,48.888888,2.3383586,26
ParkingVelo159,48.8846185,2.3410664,12
ParkingVelo160,48.8847397,2.340348,16
ParkingVelo161,48.8849039,2.3418398,14
ParkingVelo162,48.884996,2.3604654,6
ParkingVelo163,48.8907575,2.3639679,8
ParkingVelo164,48.8952692,2.3372336,9
ParkingVelo165,48.8962288,2.3344189,8
ParkingVelo166,48.8956056,2.3390791,10
ParkingVelo167,48.8965678,2.3386293,8
ParkingVelo168,48.8943468,2.340123,8
ParkingVelo169,48.8944382,2.3442512,22
ParkingVelo170,48.8839842,2.341255,8
ParkingVelo171,48.886608,2.3452285,16
ParkingVelo172,48.8832217,2.349961,8
ParkingVelo173,48.884608,2.3469451,10
ParkingVelo174,48.8881364,2.3462558,8
ParkingVelo175,48.8890621,2.3333841,10
ParkingVelo176,48.8903137,2.3341373,8
ParkingVelo177,48.8903263,2.333037,8
ParkingVelo178,48.8903768,2.3369672,8
ParkingVelo179,48.8916416,2.3355004,8
ParkingVelo180,48.8908152,2.3375737,5
ParkingVelo181,48.8910298,2.3401121,8
ParkingVelo182,48.8925928,2.3355703,8
ParkingVelo183,48.8929572,2.3386271,10
ParkingVelo184,48.8922362,2.3399843,10
ParkingVelo185,48.8903603,2.3404123,8
ParkingVelo186,48.8913707,2.347268,10
ParkingVelo187,48.8901165,2.3611446,8
ParkingVelo188,48.8314088,2.3488132,8
ParkingVelo189,48.8487594,2.3777621,40
ParkingVelo190,48.8502491,2.3773781,30
ParkingVelo191,48.8626067,2.3877616,32
ParkingVelo192,48.8785873,2.3856381,8
ParkingVelo193,48.8810233,2.3891754,10
ParkingVelo194,48.8320985,2.3498882,18
ParkingVelo195,48.8774574,2.3706118,20
ParkingVelo196,48.8782749,2.3987432,20
ParkingVelo197,48.8832438,2.3346674,4
ParkingVelo198,48.883258,2.334148,4
ParkingVelo199,48.8831677,2.3349197,12
ParkingVelo200,48.8842254,2.3311245,4
ParkingVelo201,48.8830143,2.3349542,10
ParkingVelo202,48.883278,2.3454353,6
ParkingVelo203,48.8841785,2.3313284,4
ParkingVelo204,48.8825549,2.3433495,4
ParkingVelo205,48.8834622,2.333462,4
ParkingVelo206,48.8841432,2.3314803,2
ParkingVelo207,48.88237,2.3419411,22
ParkingVelo208,48.8834666,2.333932,4
ParkingVelo209,48.8831628,2.3344698,4
ParkingVelo210,48.8821945,2.3390814,6
ParkingVelo211,48.8836346,2.3333606,4
ParkingVelo212,48.8831668,2.3453248,10
ParkingVelo213,48.8824739,2.3367661,4
ParkingVelo214,48.8829102,2.3357993,4
ParkingVelo215,48.8831284,2.3458054,6
ParkingVelo216,48.8843586,2.3305374,16
ParkingVelo217,48.8842375,2.3304931,16
ParkingVelo218,48.882635,2.3426142,6
ParkingVelo219,48.8827914,2.3361984,4
ParkingVelo220,48.884002,2.3320804,2
ParkingVelo221,48.8842715,2.3309369,4
ParkingVelo222,48.8824944,2.3425673,6
ParkingVelo223,48.883085,2.3449122,4
ParkingVelo224,48.8829531,2.3351591,4
ParkingVelo225,48.8832939,2.3340079,4
ParkingVelo226,48.8830144,2.3354497,4
ParkingVelo227,48.8840989,2.3310875,2
ParkingVelo228,48.8827272,2.3359139,4
ParkingVelo229,48.8828373,2.3355408,4
ParkingVelo230,48.8840935,2.3316901,4
ParkingVelo231,48.8911479,2.3438005,10
ParkingVelo232,48.884175,2.3307567,4
ParkingVelo233,48.8840176,2.3314318,4
ParkingVelo234,48.882735,2.3443474,10
ParkingVelo235,48.8824992,2.3419093,30
ParkingVelo236,48.8840914,2.3287873,10
ParkingVelo237,48.8859617,2.3285472,8
ParkingVelo238,48.8298513,2.2961748,18
ParkingVelo239,48.8830046,2.3595119,24
ParkingVelo240,48.877255,2.3640895,14
ParkingVelo241,48.8809336,2.3625763,12
ParkingVelo242,48.8831153,2.365382,10
ParkingVelo243,48.8830797,2.3654581,8
ParkingVelo244,48.8839386,2.3671462,26
ParkingVelo245,48.8280936,2.3808679,16
ParkingVelo246,48.8297043,2.3791764,16
ParkingVelo247,48.8809898,2.3651027,6
ParkingVelo248,48.8826918,2.3670278,20
ParkingVelo249,48.8230233,2.3309007,50
ParkingVelo250,48.8231952,2.3309599,100
ParkingVelo251,48.84658,2.3730993,10
ParkingVelo252,48.8839745,2.3286055,12
ParkingVelo253,48.8840191,2.3285389,12
ParkingVelo254,48.8763843,2.4040656,8
ParkingVelo255,48.8880732,2.3770139,20
ParkingVelo256,48.8888125,2.3460912,16
ParkingVelo257,48.8955373,2.3458063,10
ParkingVelo258,48.890977,2.3451712,10
ParkingVelo259,48.8858129,2.3375816,4
ParkingVelo260,48.885669,2.3381269,8
ParkingVelo261,48.8908321,2.3617831,10
ParkingVelo262,48.856465,2.4027024,8
ParkingVelo263,48.8892959,2.353472,12
ParkingVelo264,48.8883298,2.3275492,6
ParkingVelo265,48.8433085,2.3543104,20
ParkingVelo266,48.8418553,2.3029271,38
ParkingVelo267,48.8666607,2.3687442,22
ParkingVelo268,48.8919345,2.3436405,8
ParkingVelo269,48.8917686,2.3440622,2
ParkingVelo270,48.8423698,2.3854379,4
ParkingVelo271,48.84757,2.3089287,10
ParkingVelo272,48.8487319,2.3087101,38
ParkingVelo273,48.8448872,2.3142661,14
ParkingVelo274,48.8488629,2.3113707,4
ParkingVelo275,48.8752356,2.2843989,14
ParkingVelo276,48.8595596,2.2753644,12
ParkingVelo277,48.8679986,2.2809739,10
ParkingVelo279,48.8473861,2.3864099,12
ParkingVelo280,48.8698043,2.3749554,10
ParkingVelo281,48.8650801,2.3441716,8
ParkingVelo282,48.865295,2.3432736,8
ParkingVelo283,48.8664225,2.3435959,8
ParkingVelo284,48.868416,2.3418909,8
ParkingVelo285,48.8751771,2.4061498,20
ParkingVelo286,48.875064,2.2979002,24
ParkingVelo287,48.8903868,2.3771145,6
ParkingVelo288,48.8384989,2.2572066,10
ParkingVelo289,48.865177,2.3511407,20
ParkingVelo290,48.8751432,2.3825052,6
